"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_HINT_EXP_LEVEL1","Your experience level indicates the strength of your King and Crown Towers.","Votre niveau d'expérience indique la force de votre tour du roi et de vos tours couronnées.","Dein Erfahrungslevel zeigt die Stärke deines Königs und deiner Kronentürme an.","Tu nivel de experiencia indica la fuerza de tu rey y tus torres de coronas.","Il tuo livello di esperienza indica la forza del tuo re e delle tue torri della corona.","Je ervaringslevel weerspiegelt de kracht van je koning en koningstorens.","Erfaringsnivået indikerer styrken til kongetårnet og kronetårnene dine.","Deneyim seviyen Kral ve Taç Kulelerinin gücünü belirler.","経験値レベルはキングとクラウンタワーの\n強さを表します。","경험치 레벨은 왕과 크라운 타워의 강력함을 보여주는 수치입니다.","Уровень опыта показывает, насколько силен твой король и башня.","مستوى الخبرة لديك يشير إلى قوة أبراج الملك والتاج الخاصة بك.","Seu nível de experiência indica a força do seu rei e de suas torres.","您的经验等级表明了您的国王和皇家塔的战斗力。","你的經驗值等級會反映在國王塔和皇家塔的強度上。"
"TID_HINT_KING_ACTIVATION","The King only joins the fight after taking damage or losing a Crown Tower.","Le roi rejoint le combat seulement après avoir subi des dégâts ou perdu une tour couronnée.","Der König greift erst in den Kampf ein, wenn er Schaden erlitten hat oder ein Kronenturm verloren wurde.","El rey solo participa en la batalla cuando ha sufrido daño o tras perder una torre de coronas.","Il re si unisce al combattimento solo dopo aver subito danno o aver perso una torre della corona.","De koning stort zich pas in de strijd nadat hij schade heeft opgelopen of een kroontoren is kwijtgeraakt.","Kongen blir bare med i kampen når han er blitt påført skade eller har mistet et kronetårn.","Kral yalnızca hasar aldıktan ya da bir Taç Kulesini kaybettikten sonra savaşa katılır.","キングは自分がダメージを受けるか\nクラウンタワーを1つ失わないかぎり\n戦闘に参加しません。","왕은 크라운 타워가 공격을 받거나 무너진 경우에만 전투에 참가합니다.","Король вступает в бой только после потери или повреждения королевской башни.","لا ينضم الملك للقتال إلا بعد تلقي الضرر أو بعد فقدان برج تاج.","O rei só entra na luta depois de sofrer dano ou perder uma Torre da Coroa.","国王只有在受到伤害或丢失皇家塔后才会加入战斗。","國王只會在受到傷害或喪失一座皇家塔時，才會加入戰鬥。"
"TID_HINT_KING_DAUGHTERS","The Princesses protect the King from atop their Crown Towers.","Du sommet de leurs tours couronnées, les princesses protègent le roi.","Die Prinzessinnen schützen den König von ihren Kronentürmen aus.","Las princesas protegen al rey desde la parte superior de sus torres de coronas.","Le principesse proteggono il re dall'alto delle loro torri della corona.","De prinsessen beschermen de koning vanaf de top van hun kroontorens.","Prinsessene beskytter kongen fra toppen av kronetårnene sine.","Prensesler, Kralı Taç Kulelerinin üstünden korur.","プリンセスたちはクラウンタワーの上で\n王を守っています。","프린세스들은 각자의 크라운 타워에서 왕을 보호합니다.","Принцессы защищают короля со своих башен.","الأميرة تحمي الملك من فوق أبراج التاج.","As princesas protegem o Rei de cima das suas Torres da Coroa.","公主们会从皇家塔保护国王。","公主會在皇家塔上保護國王。"
"TID_HINT_WINNING_CONDITION1","Destroy more Crown Towers than your opponent to win!","Détruisez plus de tours couronnées que votre adversaire pour gagner !","Zerstöre mehr Kronentürme als dein Gegner, um zu gewinnen!","Para ganar, destruye más torres de coronas que tu rival.","Distruggi più torri della corona del tuo avversario per vincere!","Vernietig meer kroontorens dan je tegenstander om te winnen!","Ødelegg flere kronetårn enn motstanderen for å vinne!","Kazanmak için rakibinden fazla Taç Kulesi yok et!","相手より多くのクラウンタワーを壊せば\nあなたの勝利です！","상대방보다 많은 크라운 타워를 부수면 승리합니다!","Ты победишь, если уничтожишь больше королевских башен, чем противник!","دمّر أبراج تاج أكثر من خصمك لتحقيق الفوز!","Destrua mais Torres da Coroa do que seu adversário para vencer!","摧毁的皇家塔比对手更多即可获胜！","比對手摧毀更多皇家塔就能獲得勝利！"
"TID_INFO_ARENA2","Bone Pit","Fosse aux os","Knochengrube","Foso de huesos","Pozzo delle ossa","Knekelveld","Beingropen","Kemik Çukuru","ボーンピット","해골 구덩이","Костяная яма","حفرة العظام","Fosso dos Ossos","埋骨深渊","埋骨深淵"
"TID_INFO_ARENA3","Barbarian Bowl","Arène des barbares","Barbarenoval","Coliseo bárbaro","Arena dei barbari","Barbaars bekken","Barbar-arenaen","Barbar Çanağı","バーバリアンボウル","바바리안 경기장","Варварская арена","وعاء البربري","Torneio Bárbaro","野蛮人擂台","野蠻人擂臺"
"TID_INFO_ARENA4","P.E.K.K.A's Playhouse","Parc P.E.K.K.Aland","P.E.K.K.A.s Spielplatz","Fuerte del P.E.K.K.A.","Casa dei giochi di P.E.K.K.A","P.E.K.K.A.-speeltuin","P.E.K.K.As lekehus","P.E.K.K.A'nın Oyun Evi","P.E.K.K.Aシアター","P.E.K.K.A의 놀이터","Игровой домик П.Е.К.К.А.","مسرح بيكا","Parquinho da P.E.K.K.A","皮卡超人乐园","皮卡超人樂園"
"TID_INFO_ARENA5","Spell Valley","Vallée des sorts","Zaubertal","Valle de hechizos","Valle degli incantesimi","Spreukenvallei","Formeldalen","Büyü Vadisi","呪文の谷","마법 계곡","Долина чар","وادي التعويذة","Vale dos Feitiços","法术幽谷","法術幽谷"
"TID_MAX_LEVEL_EXTRA_GOLD_PROGRESS_BAR","Extra Gold +<VALUE>","Or supplémentaire +<VALUE>","Extragold +<VALUE>","+<VALUE> de oro extra","Oro extra +<VALUE>","Extra goud +<VALUE>","Ekstra gull +<VALUE>","Ekstra Altın +<VALUE>","追加ゴールド+<VALUE>","추가 골드 + <VALUE>","Доп. золото +<VALUE>","ذهب إضافي +<VALUE>","Ouro extra +<VALUE>","额外金币+<VALUE>","額外金幣 + <VALUE>"
"TID_MEMBER_DONATED","Donated","Donations","Gespendet","Donado:","Donato","Gedoneerd","Donert","Bağışlanan","寄付","지원","Пожертвов.","مُتبرع","Doado","已捐赠","已捐贈"
"TID_NEW_ARENA","Your new Arena","Votre nouvelle arène","Deine neue Arena","¡Tu nueva arena!","La tua nuova arena","Je nieuwe arena","Din nye arena","Yeni Arenan","新アリーナ：","신규 아레나","Твоя новая арена","ساحتك الجديدة","Sua nova arena","您的新竞技场","您的新競技場"
"TID_NOT_ENOUGH_GOLD","You do not have enough gold!","Vous n'avez pas assez d'or !","Du hast nicht genug Gold!","¡Necesitas más oro!","Non hai abbastanza oro!","Je hebt niet genoeg goud!","Du har ikke nok gull!","Yeteri kadar altının yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","ليس لديك ذهب كاف!","Seu estoque de ouro é insuficiente!","您的金币不足！","你的金幣不足！"
"TID_NOT_ENOUGH_RESOURCES","You don't have enough gold!","Vous n'avez pas assez d'or !","Du hast nicht genug Gold!","¡Necesitas más oro!","Non hai abbastanza oro!","Je hebt niet genoeg goud!","Du har ikke nok gull!","Yeterli altının yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","ليس لديك ذهب كاف!","Seu estoque de ouro é insuficiente!","您的金币不足！","你的金幣不足！"
"TID_NOT_ENOUGH_RESOURCES_TEXT","Buy missing gold?","Acheter l'or manquant ?","Fehlendes Gold kaufen?","¿Quieres comprar más?","Vuoi acquistare l'oro che ti manca?","Het ontbrekende goud kopen?","Vil du kjøpe det gullet du mangler?","Eksik altın satın alınsın mı?","足りないゴールドを購入しますか？","부족한 골드를 구입하시겠습니까?","Докупить золото?","هل تريد شراء الذهب الناقص؟","Comprar o que falta de ouro?","要购买缺少的金币吗？","購買缺少的金幣？"
"TID_NOT_ENOUGH_RESOURCES_TEXT_MATCHMAKING","Buy <GOLD> gold and enter battle?","Acheter <GOLD> pièces d'or et engager le combat ?","<GOLD> Gold kaufen und kämpfen?","¿Quieres comprar <GOLD> de oro y participar en la batalla?","Acquistare <GOLD> oro ed entrare in battaglia?","<GOLD> goud kopen en gevecht starten?","Vil du kjøpe <GOLD> gull og gå i kamp?","<GOLD> altın satın alıp savaşa girmek ister misin?","<GOLD>ゴールドを購入してバトルに参加しますか？","<GOLD> 골드를 구입하고 전투를 시작하시겠습니까?","Купить <GOLD> золота и начать бой?","هل تريد شراء <GOLD> من الذهب ودخول المعركة؟","Comprar <GOLD> unidades de ouro e entrar na batalha?","购买<GOLD>金币并开始对战？","購買 <GOLD> 金幣並加入戰鬥？"
"TID_NOT_ENOUGH_RESOURCES_TEXT_ROUNDED_UP","Buy <GOLD> gold?","Acheter <GOLD> pièces d'or ?","<GOLD> Gold kaufen?","¿Quieres comprar <GOLD> de oro?","Acquistare <GOLD> oro?","<GOLD> goud kopen?","Vil du kjøpe <GOLD> gull?","<GOLD> altın satın almak ister misin?","<GOLD>ゴールドを購入しますか？","<GOLD> 골드를 구입하시겠습니까?","Купить <GOLD> золота?","هل تريد شراء <GOLD> من الذهب؟","Comprar <GOLD> unidades de ouro?","购买<GOLD>金币？","購買 <GOLD> 金幣？"
"TID_NOT_ENOUGH_RESOURCES_TITLE","Not enough gold!","Pas assez d'or !","Nicht genug Gold!","Oro insuficiente","Oro insufficiente!","Niet genoeg goud!","Ikke nok gull!","Yeterli altın yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","لا يوجد ذهب كاف!","Ouro insuficiente!","金币不够！","金幣不足！"
"TID_RESOURCE_PACK_GOLD_BIG","Wagon of Gold","Charrette d'or","Karre Gold","Vagón de oro","Vagone d'oro","Karrenvracht goud","Vogn med gull","Altın Vagonu","ゴールドの荷車","골드 수레","Тележка золота","عربة ذهب","Carrinho de ouro","一小车金币","一車金幣"
"TID_RESOURCE_PACK_GOLD_MEDIUM","Bucket of Gold","Seau d'or","Eimer Gold","Cubo de oro","Secchio d'oro","Emmer goud","Bøtte med gull","Altın Kovası","ゴールドの桶","골드 바구니","Короб золота","دلو ذهب","Balde de ouro","一桶金币","一桶金幣"
"TID_RESOURCE_PACK_GOLD_SMALL","Pouch of Gold","Sac d'or","Beutel Gold","Bolsa de oro","Borsa d'oro","Buidel goud","Pose med gull","Altın Kesesi","ゴールドの袋","골드 주머니","Кошель золота","حقيبة ذهب","Bolsa de ouro","一小袋金币","一包金幣"
"TID_SPELL_ATTRIBUTE_TOWER_DAMAGE","Crown Tower Damage","Dégâts Tour couronnée","Kronenturm-Schaden","Daño a torres de coronas","Danno torri della corona","Schade kroontoren","Kronetårnskade","Taç Kulesi Hasarı","クラウンタワーダメージ","크라운 타워 피해량","Урон королевской башне","ضرر برج التاج","Dano à Torre da Coroa","皇家塔伤害","皇家塔傷害"
"TID_SPELL_BABY_DRAGON","Baby Dragon","Bébé dragon","Drachenbaby","Bebé dragón","Cucciolo di drago","Babydraak","Drageunge","Yavru Ejderha","ベビードラゴン","베이비 드래곤","Маленький дракон","تنين صغير","Bebê Dragão","飞龙宝宝","飛龍寶寶"
"TID_SPELL_INFO_ROCKET","Deals high damage to a small area. Looks really awesome doing it. Reduced damage to Crown Towers.","Inflige d'importants dégâts sur une petite zone. Et avec une classe inégalée. Dégâts réduits sur les tours couronnées.","Verursacht großen Schaden in einem kleinen Bereich - und sieht einfach toll dabei aus! Reduzierter Schaden gegen Kronentürme.","Inflige un gran daño en un área reducida. Mola mucho verlo en acción, pero es menos efectivo contra las torres de coronas.","Infligge danno elevato a un'area di piccole dimensioni. E lo fa in maniera spettacolare. Danno ridotto alle torri della corona.","Veroorzaakt veel schade op een klein gebied. Een visueel spektakel. Kroontorens lopen minder schade op.","Påfører stor skade på et lite område, og det ser knalltøft ut mens det pågår. Mindre skade på kronetårn.","Küçük bir alana yüksek hasar verir. Bunu yaparken süper görünür. Taç Kulelerine daha az hasar verir.","小範囲に大ダメージを与えます。見ているだけで壮観ですよ！\nただし、クラウンタワーに対してはダメージが減少します。","좁은 영역에 큰 피해를 줍니다. 터지는 모습이 아주 볼만하지요. 크라운 타워에는 비교적 적은 피해를 줍니다.","Наносит большой урон по небольшой зоне. И это выглядит мега-круто. Повреждение королевской башни снижено.","تسبب ضررًا كبيرًا في منطقة صغيرة. ويبدو رائعًا أثناء القيام بذلك. ضرر منخفض لأبراج التاج.","Causa dano severo em uma área pequena. E de uma forma bem impressionante. Dano reduzido à Torre da Coroa.","对小范围造成高伤害，过程看起来非常吓人。对皇家塔的伤害有所降低。","在小範圍內造成大量傷害，火燒起來的樣子只有「賞心悅目」四個字可以形容，但對皇家塔的傷害較低。"
"TID_SPELL_MINION_HORDE","Minion Horde","Horde de gargouilles","Lakaienhorde","Horda de esbirros","Orda di sgherri","Horde gunstelingen","Lakeihorde","Minyon sürüsü","ガーゴイルの群れ","미니언 패거리","Орда миньонов","حشد المينيون","Horda de Servos","亡灵大军","亡靈大軍"
"TID_SPELL_TOMBSTONE","Tombstone","Pierre tombale","Grabstein","Lápida","Lapide","Grafsteen","Gravstein","Mezar Taşı","墓石","해골 무덤","Надгробие","شاهد القبر","Lápide","骷髅墓碑","骷髏墓碑"
"TID_UPGRADE_NOT_ENOUGH_GOLD","Not enough gold!","Pas assez d'or !","Nicht genug Gold!","Oro insuficiente","Oro insufficiente!","Niet genoeg goud!","Ikke nok gull!","Yeterli altın yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","لا يوجد ذهب كاف!","Ouro insuficiente!","金币不够！","金幣不足！"
"TID_YOUR_GOLD","Your gold:","Votre or :","Dein Gold:","Tu oro:","Il tuo oro:","Jouw goud:","Ditt gull:","Altının:","あなたのゴールド：","내 골드","Твое золото:","الذهب الخاص بك:","Seu ouro:","您的金币：","你的金幣："
"TID_HINT_TOMBSTONE","The Tombstone releases a group of Skeletons when destroyed.","La pierre tombale libère un groupe de squelettes quand elle est détruite.","Der Grabstein setzt eine Gruppe Skelette frei, wenn er zerstört wird.","La lápida libera un grupo de esqueletos al ser destruida.","La lapide genera un gruppo di scheletri quando viene distrutta.","De grafsteen spuugt een groep skeletten uit als deze wordt vernietigd.","Gravsteinen slipper ut en gruppe skjeletter når den ødelegges.","Mezar Taşı yok edildiğinde bir grup İskelet çıkarır.","墓石が破壊されると、\nスケルトンの群れが発生します。","해골 무덤은 파괴되면 해골 병사를 풀어놓습니다.","Надгробие выпускает группу скелетов, если его уничтожить.","شواهد القبور تطلق مجموعة من الهياكل العظمية عند تدميرها.","A Lápide libera um grupo de esqueletos quando é destruída.","骷髅墓碑被摧毁后会放出一群骷髅兵。","骷髏墓碑遭到摧毀時，將會釋出一群骷髏兵。"
"TID_HINT_TOWER_TARGETING","All Crown Towers target both ground and air troops.","Toutes les tours couronnées ciblent à la fois les combattants terrestres et aériens.","Alle Kronentürme nehmen Boden- und Lufteinheiten ins Visier.","Las torres de coronas atacan a tropas tanto aéreas como terrestres.","Tutte le torri della corona bersagliano sia le unità di terra, sia quelle volanti.","Alle kroontorens vallen zowel grond- als luchteenheden aan.","Kronetårn angriper mål både på bakken og i lufta.","Tüm Taç Kuleleri hem kara hem de hava birimlerini hedef alabilir.","クラウンタワーは、地上の敵も\n空中の敵も攻撃できます。","크라운 타워는 지상 및 공중 모두를 공격할 수 있습니다.","Все королевские башни стреляют по наземным и воздушным мишеням.","كل أبراج التاج تستهدف القوات الأرضية والجوية.","Todas as Torres da Coroa podem atingir unidades terrestres e aéreas.","所有的皇家塔都可以兼顾陆空目标。","皇家塔可瞄準地面和空中的部隊。"
"TID_SPELL_INFO_ARROWS","Arrows pepper a large area, damaging everyone hit. Reduced damage to Crown Towers.","Arrose de flèches une large zone, infligeant des dégâts à tous les combattants touchés. Dégâts réduits sur les tours couronnées.","Pfeile spicken einen großen Bereich und fügen allen Getroffenen Schaden zu. Reduzierter Schaden gegen Kronentürme.","Las flechas afectan a una gran área e infligen daño a todos los objetivos alcanzados. Son menos efectivas contra las torres de coronas.","Le frecce piovono su un'area estesa, danneggiando ciò che colpiscono. Danno ridotto alle torri della corona.","Pijlen bestrijken een groot gebied en elke treffer veroorzaakt schade. Kroontorens lopen minder schade op.","Piler regner ned over et stort område og skader alle som blir truffet. Mindre skade på kronetårn.","Oklar geniş bir alana etki ederek vurduğu herkese hasar verir. Taç Kulelerine daha az hasar verir.","矢の雨を降らせ、広範囲の敵全員にダメージを与えることができます。ただしクラウンタワーに対してはダメージが減少します。","화살은 넓은 지역을 공격해 맞은 대상 모두에게 피해를 줍니다. 크라운 타워에는 비교적 적은 피해를 줍니다.","Стрелы покрывают большую зону, нанося урон всем. Повреждение королевской башни снижено.","وابل من السهام يمطر منطقة ضخمة، ويسبب الضرر لكل من يصيبه. قليل الضرر لأبراج التاج.","As flechas chovem em uma área extensa, danificando todos os atingidos. Dano reduzido às Torres da Coroa.","万箭齐发可以覆盖大片区域并对其中所有目标造成伤害。对皇家塔的伤害有所降低。","「萬箭齊發」可以掃射大範圍區域，對所有擊中的目標造成傷害，對皇家塔的傷害較低。"
"TID_SPELL_INFO_BABY_DRAGON","Flying troop that deals area damage. Baby dragons hatch cute, hungry and ready for a barbeque.","Combattant volant qui inflige des dégâts de zone. Les bébés dragons naissent adorables, affamés et prêts pour un bon petit barbecue.","Fliegende Einheiten, die Flächenschaden austeilen. Drachenbabys kommen sehr niedlich und sehr hungrig aus dem Ei - und sind verrückt nach Gegrilltem!","Una unidad voladora que inflige daño de área. Cuando nacen, los bebés dragón son monísimos, pero también tienen mucha hambre y siempre les apetece un buen churrasco.","Truppa volante che infligge danno ad area. I cuccioli di drago escono dall'uovo già carini, affamati e pronti per il barbecue.","Vliegende eenheden die gebiedsschade veroorzaken. Babydraken kruipen schattig en hongerig uit het ei, klaar voor een barbecue.","Flygende tropp som forårsaker områdeskade. Drageungene som klekkes ut, er sultne og klare for litt grilling.","Alan hasarı veren uçan birlik. Bebek ejderhalar tatlı, aç ve barbeküye hazır doğar.","範囲攻撃型の飛行ユニットです。生まれたての小さなドラゴンですが、はらぺこで、バーベキューをしたくて仕方がないようです！","광역 공격을 하는 공중 유닛입니다. 베이비 드래곤은 귀엽지만 굶주렸으며 적들을 바비큐로 만들고 싶어 안달이 나 있지요.","Летающий воин, наносящий урон по зоне. Маленькие драконы — вечноголодные симпатяги, мечтающие о шашлыке.","قوات طائرة تسبب ضررًا في المنطقة. صغار التنانين تخرج لطيفة وجائعة وجاهزة لحفلات الشواء.","Tropa voadora que causa dano em área. Bebês dragões nascem fofos, com fome e prontos para o churrasco.","飞行部队，能造成范围伤害。萌萌的飞龙宝宝现在饿了，准备来一顿烧烤大餐呢！","這是可以造成範圍傷害的飛行部隊。飛龍寶寶很可愛但是很愛吃，隨時隨地都可以開始烤肉派對。"
"TID_SPELL_INFO_FIREBALL","Annnnnd... Fireball. Incinerates a small area, dealing high damage. Reduced damage to Crown Towers.","Et bim, une boule de feu. Incinère une petite zone, infligeant des dégâts élevés. Dégâts réduits sur les tours couronnées.","Uuuund ... Feuerball. Entzündet einen kleinen Bereich, verursacht großen Schaden. Reduzierter Schaden gegen Kronentürme.","¡Bum! La bola de fuego incinera un área pequeña, en la que causa un gran daño. Es menos efectiva contra las torres de coronas.","E ora... la Sfera infuocata. Incenerisce un'area di piccole dimensioni, infliggendo danni elevati. Danno ridotto alle torri della corona.","En een... vuurbal. Verschroeit een klein gebied, maar veroorzaakt veel schade. Kroontorens lopen minder schade op.","Oooooog ... ildkule! Svir av et lite område og påfører stor skade. Mindre skade på kronetårn.","Veee... Alev Topu. Küçük bir alanı yakıp kül ederek yüksek hasar verir. Taç Kulelerine daha az hasar verir.","おなじみのファイアボール。小範囲を焼きつくし、敵兵士に大きなダメージを与えますが、クラウンタワーに対してはダメージが減少します。","뜨겁고도 뜨거운... 불덩어리입니다. 일정 영역을 불태워 높은 피해를 주지만 크라운 타워에는 비교적 적은 피해를 줍니다.","Оооооо... Огненный шар. Испепеляет небольшую зону, нанося большой урон. Повреждение королевской башни снижено.","و... كرة نارية. تحرق منطقة صغيرة، وتسبب ضررًا كبيرًا. قليلة الضرر لأبراج التاج.","Eeeee... bola de fogo! Incinera uma pequena área, causando grande dano. Dano reduzido às Torres da Coroa.","火球来啦。它能焚烧小片区域并造成大量伤害，对皇家塔的伤害有所降低。","隆重呈現...火球。火球可以灼燒小範圍區域並造成高傷害，但對皇家塔的傷害較低。"
"TID_SPELL_INFO_GOBLIN_HUT","Building that spawns Spear Goblins. But don´t look inside. You don´t want to see how they are made.","Bâtiment qui génère des gobelins à lance. Mais ne regardez pas à l'intérieur, vous ne voulez pas savoir de quoi ils sont faits !","Gebäude, das Speerkobolde ausstößt. Nicht hineinschauen! Sonst kriegst du noch mit, wie sie gemacht werden ...","Estructura que genera duendes con lanza. Ni se te ocurra mirar dentro, no querrás saber de dónde salen...","Edificio che genera goblin lancieri. Ma non guardarci dentro. Meglio non sapere come li fanno.","Gebouw dat speerkobolden voortbrengt. Niet naar binnen kijken. Je wilt niet weten hoe ze worden gemaakt.","Bygning som spawner spydnisser. Men ikke se på innsiden. Du vil ikke vite hvordan de lages.","Mızraklı Goblin yapan bir bina. Ama içine bakmasan iyi olur. Onların nasıl yapıldığını görmek istemezsin.","槍ゴブリンが次々とわき出すユニット兵舎の一種です。でも中を見てはいけません！ ゴブリンがどんなふうに生まれてくるかなんて、知らない方が幸せですよ...","창 고블린을 훈련시키는 건물입니다. 하지만 훈련 광경이 별로 아름답진 않으니, 들여다보지 말 것을 권하는 바입니다.","Здание выпускает гоблинов—копейщиков. Не заглядывай внутрь! Откуда они берутся — зрелище не для слабонервных.","مبنى يولد غيلان الرمح. ولكن لا تنظر في الداخل. لن يعجبك رؤية طريقة صناعتهم.","Construção que gera goblins lanceiros. Mas não olhe lá dentro. Você não quer ver como são feitos.","生成长矛哥布林的建筑。但是千万别往里面瞧，你不会想看到生产过程的。","這是一棟產生哥布林投矛手的建築物。不過，千萬別往裡頭看，你不會想要知道這些哥布林是怎麼產生的。"
"TID_SPELL_INFO_TESLA","Defensive building. Whenever it's not zapping the enemy, the power of Electrickery is best kept grounded.","Bâtiment défensif. Quand la tour Tesla n'électrocute pas l'ennemi, sa puissance électrisante est confinée sous terre.","Verteidigungsgebäude. Wenn nicht gerade Gegner geschockt werden, sollte diese Elektrickserei am besten geerdet sein.","Estructura defensiva. Si no hay ningún enemigo alrededor, prefiere resguardarse bajo tierra.","Edificio difensivo. Quando non sta fulminando i nemici, il potere dell'Elettrotranello è tenuto nascosto.","Verdedigingsgebouw. Wordt gebruikt om de vijand te zappen. In de ruststand dient de elek-truc-iteit te worden geaard.","Forsvarsbygning. Når den ikke zapper fienden, er det best å holde elektriksitetens krefter i sjakk.","Savunma binası. Düşmanı çarpmadığı anlarda elektrik gücü kullanılmasa iyi olur.","防衛設備の一つです。危険なビリビリの力を使うので、敵を丸こげにしていない時は地面にしまわれています。","방어 시설입니다. 적들을 구워버릴 때를 제외하면 이런 전기 시설은 땅 속에 있는 게 맞겠지요.","Защитное сооружение. Пока не бьет по врагам, электричество лучше заземлить.","مبنى دفاعي. في حالة عدم تدمير العدو فإن قوة إليكتريكيري من الأفضل أن تبقى أرضًا.","Construção defensiva. Quando o Eletruque não estiver aterrorizando o inimigo, sua energia é que deve ser aterrada.","防御建筑。当不用电击敌人时，最好把它的电流能量接地处理。","一棟防禦型的建築，在不使用電擊法術擊倒敵人的時候，最好是謹慎拘束這種能量。"
"TID_CANNOT_USE_MIRROR_FIRST","Mirror cannot be used as a first card","Le miroir ne peut pas être utilisé en tant que première carte.","Spiegel kann nicht als erste Karte verwendet werden.","No puedes empezar usando el hechizo de espejo.","Specchio non può essere utilizzato come prima carta","Spiegel kan niet worden gebruikt als eerste kaart","Speil kan ikke brukes som første kort","Ayna, ilk kart olarak kullanılamaz","鏡は最初のカードとしては使えません","반사경은 첫 카드로 사용할 수 없습니다.","Зеркало не может быть первой картой","لا يمكن استخدام المرآة كبطاقة أولى","O Espelho não pode ser usado como primeira carta.","镜像法术不能作为第一张卡牌使用","第一張卡牌不能是鏡像法術"
"TID_LEGEND_TROPHY","Legend Trophies","Trophées légendaires","Legenden-Trophäen","Trofeos de leyenda","Trofei leggenda","Legendarische trofeeën","Legendetrofeer","Efsane Kupalar","レジェンドトロフィー","전설 트로피","Легендарные трофеи","كؤوس الأسطورة","Troféus lendários","传奇奖杯","傳奇獎盃"
"TID_LEGEND_ARENA_TOURNAMENT","Legendary Arena Season","Saison de l'arène légendaire","Legendäre Arenasaison","Temporada de la Arena Legendaria","Stagione arena leggendaria","Seizoen van de legendarische arena","Legendarisk arena-sesong","Efsanevi Arena Sezonu","レジェンドアリーナシーズン","전설 아레나 시즌","Сезон Легендарной арены","موسم الساحة الأسطورية","Temporada de Arena Lendária","传奇竞技场赛季","傳奇競技場賽季"
"TID_WINNERS_WILL_BE_FEATURED","Winners of the\nLegendary Arena Tournament\nwill be featured here!","Les gagnants du\ntournoi de l'arène légendaire\nseront affichés ici !","Hier erscheinen\ndie Gewinner des\nLegendären Arenaturniers!","¡Aquí aparecerán\nlos ganadores del torneo\nde la Arena Legendaria!","I vincitori del\ntorneo arena leggendaria\nverranno mostrati qui!","Hier worden de winnaars van het\ntoernooi in de legendarische arena\nvermeld!","Vinnerne av\nLegendarisk arena-turneringen\nvil presenteres her!","\nEfsanevi Arena Turnuvasının\nkazananları burada gösterilecek!","\nレジェンドアリーナトーナメント\nの勝者は、こちらで紹介されます！","\n전설 리그 토너먼트\n승리자는 여기에 등록됩니다!","Здесь будут показаны победители\nТурнира Легендарной Арены\n!","سيتم تقديم الفائزين\nببطولة الساحة الأسطورية\nهنا!","Os vencedores do\nTorneio de Ligas Lendárias\naparecerão aqui!","这里显示了\n传奇竞技场锦标赛\n的获胜玩家！","傳奇聯盟競賽的贏家\n將會顯示於此！"
"TID_HINT_TROPHY_DROPPING","Dropping Trophies isn´t beneficial, because chests from higher Arenas give you a lot more Gold and many more cards!","Il n'est pas à votre avantage de perdre des trophées, car les coffres des arènes supérieures rapportent beaucoup plus d'or et de cartes !","Es bringt nicht viel, Trophäen fallen zu lassen, denn Truhen aus höheren Arenen bringen dir viel mehr Gold und Karten ein!","No es recomendable deshacerse de los trofeos, ya que los cofres de las arenas superiores dan más oro y muchas más cartas.","Abbassare la quota di trofei non è vantaggioso perché i bauli delle arene superiori offrono molto più oro e molte più carte!","Het is ongunstig om het aantal trofeeën te laten inzakken omdat kisten van hogere arena's je veel meer goud en veel meer kaarten opleveren!","Det er ikke en fordel å slippe trofeer, for kister fra høyere arenaer gir deg mye mer gull og mange flere kort!","Kupa düşürmek işine yaramaz çünkü daha yüksek Arenalardaki sandıklar daha fazla Altın ve çok daha fazla kart verir!","上位アリーナでは宝箱から手に入るゴールドや\nカードの数が格段に多いため、トロフィーを\n減らしてしまうと不利になります。","트로피 수가 줄면 좋지 않습니다. 상위 아레나에서 나오는 상자에서 더 많은 골드와 카드를 획득할 수 있기 때문이죠!","Потеря трофеев не дает ничего хорошего, ведь в сундуках более высоких Арен куда больше золота и карт!","تقليل الكؤوس ليس مفيدًا، لأن الصناديق من ساحات أعلى تمنحك ذهبًا وبطاقات أكثر!","Perder troféus não vale a pena, já que baús de Arenas mais altas dão muito mais ouro e cartas!","降杯没什么好处，因为竞技场等级越高，其奖励宝箱中的金币和卡牌就越多！","失去獎盃沒有好處，因為你可以在更高階的鬥技場獲得更多的金幣和卡片！"
