"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE","Facebook Alert","Avertissement Facebook","Facebook-Meldung","Aviso de Facebook","Avviso Facebook","Facebook-melding","Facebook-varsling","Facebook Uyarısı","Facebookの警告","Facebook 알림","Предупреждение от Facebook","تنبيه Facebook","Alerta do Facebook","Facebook警告","Facebook 警示"
"TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT","This Facebook account was linked to another game. Link it to your current game instead?","Ce compte Facebook était associé à une autre partie. L'associer à la partie en cours à la place ?","Dieses Facebook-Konto ist bereits mit einem anderen Spiel verbunden. Stattdessen mit deinem aktuellen Spiel verbinden?","Esta cuenta de Facebook ya está enlazada a otra partida de Clash Royale. ¿Quieres enlazarla a la partida actual?","Questo account Facebook è già collegato a un'altra partita. Vuoi collegarlo alla partita attuale?","Dit Facebook-account is gekoppeld aan een ander spel. Wil je het aan je huidige spel koppelen?","Denne Facebook-kontoen var knyttet til et annet spill. Vil du knytte den til det gjeldende spillet ditt isteden?","Bu Facebook hesabı başka bir oyununa bağlı. Bunun yerine mevcut oyununa bağlansın mı?","このFacebookアカウントは別のセーブデータに関連づけられています。\n関連づけを今プレイ中のセーブデータに変更しますか？","이 Facebook 계정은 이미 다른 게임과 연동되어 있습니다. 현재 게임과 연동할까요?","Эта учетная запись Facebook уже привязана к другой игре. Хочешь привязать ее к этой игре?","سبق ربط حساب Facebook هذا بلعبة أخرى. أتريد ربطه باللعبة الحالية بدلاً منها؟","Esta conta do Facebook já está vinculada a outro jogo. Deseja vinculá-la ao jogo atual?","该Facebook帐户已经关联至另一个游戏。要关联到当前游戏吗？","此 Facebook 帳號已連結至另一個遊戲進度，是否要改為連結到目前的遊戲進度？"
"TID_CONFIRM_BUTTON_GOTO_SHOP","Go to Shop","Aller au magasin","Zum Shop","A la tienda","Vai al negozio","Naar winkel","Gå til butikk","Dükkana Git","ショップを開く","상점으로 이동","В магазин","الانتقال إلى المتجر","Ir para a loja","前往商店","前往商店"
"TID_CONFIRM_GO_SHOP_TITLE","Not enough Gems!","Pas assez de gemmes !","Nicht genug Juwelen!","Gemas insuficientes","Gemme insufficienti!","Niet genoeg edelstenen!","Ikke nok juveler!","Yeterli Taş Yok!","エメラルドが足りません","보석 부족!","Нужно больше кристаллов!","لا توجد جواهر كافية!","Gemas insuficientes!","宝石不足！","寶石不足！"
"TID_CONFIRM_GO_SHOP_TEXT","You're out of Gems. Visit the Shop to get some more!","Vous n'avez plus de gemmes. Vous pouvez vous en procurer au magasin !","Du hast keine Juwelen mehr. Besuche den Shop, um welche zu kaufen!","No tienes gemas. ¡Ve a la tienda a comprar más!","Hai finito le gemme. Vai al negozio per ottenerne altre!","Je edelstenen zijn op. Bezoek de winkel om er meer te halen!","Du er tom for juveler. Besøk butikken for å skaffe flere.","Taşın kalmadı. Dükkanı ziyaret et ve bir miktar daha al!","エメラルドが足りません。\nショップで買い足しましょう！","보석이 부족합니다. 상점에서 더 구매하세요!","Кристаллы закончились. Войди в магазин, чтобы купить еще!","نفذت الجواهر لديك. قم بزيارة المتجر للحصول على المزيد!","Você está sem gemas. Compre mais na loja.","您的宝石用光了。去商店买一些吧！","你的寶石用完了。請前往「商店」購買更多寶石！"
"TID_REGION_INT","International","Internationale","International","Internacional","Internazionale","Internationaal","Internasjonalt","Uluslararası","インターナショナル","전 세계","Международное","دولي","Internacional","国际","國際"
"TID_REGION_CUSTOM1",,,,,,,,,,,,,,,
"TID_REGION_CUSTOM2",,,,,,,,,,,,,,,
"TID_REGION_CUSTOM3",,,,,,,,,,,,,,,
"TID_REGION_CUSTOM4",,,,,,,,,,,,,,,
"TID_REGION_CUSTOM5",,,,,,,,,,,,,,,
"TID_SUNDAY_NOTIFICATION","Epic Sunday: more cards available in Shop!","Dimanche épique : plus de cartes disponibles dans le magasin !","Epischer Sonntag: Mehr Karten im Shop verfügbar!","Domingo épico: ¡Más cartas disponibles en la tienda!","Domenica epica: più carte disponibili nel negozio!","Epische zondag: meer kaarten beschikbaar in de winkel!","Episk søndag: Flere kort tilgjengelig i butikken!","Destansı Pazar: Dükkanda daha fazla kart var!","サンデーマーケットの日は、ショップのカードの品ぞろえが増えます！","보너스 일요일: 상점에서 더 많은 카드를 구매할 수 있습니다!","Эпическое воскресенье: в магазине доступно больше карт!","يوم أحد ممتاز: يُتاح المزيد من البطاقات في المتجر!","Domingo épico: mais cartas disponíveis na loja!","精彩周日：商店上架了更多卡牌！","超級星期天：商店裡提供更多卡片！"
"TID_PLAYER_ID","Player ID: <HIGH>-<LOW>","ID du joueur : <HIGH>-<LOW>","Spieler-ID: <HIGH>-<LOW>","Id. de jugador: <HIGH>-<LOW>","ID giocatore: <HIGH>-<LOW>","Speler-ID: <HIGH>-<LOW>","Spiller-ID: <HIGH>-<LOW>","Oyuncu Kimliği: <HIGH>-<LOW>","プレイヤーID：<HIGH>-<LOW>","플레이어 ID: <HIGH>-<LOW>","ID игрока: <HIGH>-<LOW>","هوية اللاعب: <HIGH>-<LOW>","ID do jogador: <HIGH>-<LOW>","玩家ID：<HIGH>-<LOW>","玩家 ID：<HIGH>-<LOW>"
"TID_ANDROID_BILLING_PRODUCT_NOT_AVAILABLE_PRICE","Tap for info","En savoir plus","Für Infos antippen","Más información","Tocca per info","Tik voor info","Trykk for info","Bilgi için dokun","タップで情報を表示","탭하여 정보 보기","Коснись, чтобы узнать больше","انقر للحصول على المعلومات","Toque para saber mais","轻按获取信息","點選以查看資訊"
"TID_QUICK_TIP","Quick Tip","Petit conseil","Schnelltipp","Dato útil","Suggerimento rapido","Snelle tip","Raskt tips","Hızlı İpucu","ヒント","간편 팁","Совет","نصيحة سريعة","Dica rápida","快速提示","小訣竅"
"TID_DEPLOY_COST_ELIXIR","Card deployment costs Elixir!","Le déploiement de cartes coûte de l'élixir !","Karteneinsatz kostet Elixier!","Para jugar cartas se necesita elixir.","Lo schieramento di carte costa elisir!","Het gebruik van een kaart kost elixir!","Det koster eliksir å utplassere kort!","Kart mevzilendirmek için İksir gerekir!","カードを使用すると\nエリクサーを消費します","카드를 배치하면 엘릭서가 소모됩니다!","Использование карт стоит эликсира!","نشر البطاقة يكلف إكسيرًا!","A colocação da carta custa elixir!","部署卡牌会消耗圣水！","部署卡片需耗費聖水！"
"TID_THIS_IS_YOUR_ELIXIR","Your Elixir!","Votre élixir !","Dein Elixier!","Tu elixir","Il tuo elisir!","Jouw elixir!","Din eliksir!","İksirin!","これがエリクサーです","사용할 수 있는 엘릭서입니다!","Твой эликсир!","الإكسير الخاص بك!","Seu elixir!","您的圣水！","你的聖水！"
"TID_BUTTON_BEGIN","Begin","Débuter","Beginnen","Iniciar","Inizia","Starten","Begynn","Başla","開始","시작","Начать","بدء","Começar","开始","開始"
"TID_BUTTON_MESSAGE","Message","Message","Nachricht","Mensaje","Messaggio!","Bericht","Melding","Mesaj","メッセージ","메시지","Сообщение","رسالة","Mensagem","消息","訊息"
"TID_NOT_FOUND","Not found","Pas encore\ntrouvée","Nicht gefunden","No encontrada","Non trovato","Niet gevonden","Ikke funnet","Bulunamadı","未入手","찾을 수 없음","Не найдено","غير موجود","Não encontrada","尚未收集","無"
"TID_EVENTS_TAB1","Battles","Combats","Kämpfe","Batallas","Battaglie","Gevechten","Kamper","Savaşlar","戦歴","전투","Бои","معارك","Batalhas","对战日志","戰鬥"
"TID_EVENTS_TAB2","Inbox","Messages","Posteingang","Buzón","In arrivo","Postvak In","Innboks","Gelen Kutum","受信箱","메세지함","Входящие","البريد الوارد","Entrada","收件箱","信箱"
"TID_INBOX_EMPTY_TITLE","No New Messages","Aucun nouveau message","Keine neuen Nachrichten","No hay mensajes nuevos","Nessun nuovo messaggio","Geen nieuwe berichten","Ingen nye meldinger","Yeni Mesaj Yok","新着メッセージなし","새 메시지 없음","Нет новых сообщений","لا توجد رسائل جديدة","Nenhuma mensagem nova.","没有新消息","目前沒有新訊息"
"TID_INBOX_EMPTY_MESSAGE","Your inbox doesn't have any messages","Votre boîte de réception ne contient aucun message.","In deinem Posteingang sind keine Nachrichten.","No hay ningún mensaje en tu buzón.","Non ci sono messaggi in arrivo","Er zijn geen nieuwe berichten in je Postvak In","Du har ingen meldinger i innboksen","Gelen kutunda hiç mesaj yok","まだメッセージがありません","수신된 메시지가 없습니다.","В почтовом ящике нет сообщений","لا يحتوي البريد الوارد على أي رسائل","Sua caixa de entrada não tem mensagens.","您的收件箱中没有任何消息","你的信箱內沒有任何訊息"
"TID_BATTLE_LOG_EMPTY_TITLE","No battle events","Aucun événement de combat","Keine Kampfevents","No hay eventos de batalla","Nessun evento battaglia","Geen gevechtsevenementen","Ingen kamper","Savaş etkinliği yok","戦歴がありません","전투 기록 없음","Боев нет","لا توجد أحداث معارك","Não há eventos de batalha.","无战斗活动","沒有對戰活動"
"TID_BATTLE_LOG_EMPTY_MESSAGE","Play multiplayer matches to see your results and replays here.","Participez à des combats multijoueur pour consulter vos résultats et revoir vos combats ici.","Spiele Mehrspielerkämpfe, um hier deine Ergebnisse und Wiederholungen zu sehen.","Juega partidas multijugador para ver aquí los resultados y las repeticiones.","Qui vedrai i risultati e i replay dei tuoi scontri multigiocatore.","Speel multiplayergevechten om hier je resultaten en herhalingen te bekijken.","Spill flerspillerkamper for å se resultatene og reprisene dine her.","Burada sonuçlarını görmek ve oyun tekrarlarını izlemek için çok oyunculu maç oyna.","マルチプレイで対戦すると、ここで\n結果とリプレイを見ることができます。","여기서 결과와 리플레이를 보려면 멀티플레이 매치를 플레이하세요.","Играй с другими игроками, чтобы увидеть здесь результаты и повторы.","العب مباريات متعددة اللاعبين لرؤية النتائج وإعادات العرض هنا.","Jogue partidas multijogador para ver os seus resultados e replays aqui.","您可以在这里查看联机战斗的成绩和回放。","進行多人遊戲並在此觀看對戰結果以及重播。"
"TID_SHARE_REPLAY","Share Replay","Partager la vidéo","Wiederholung teilen","Compartir repetición","Condividi replay","Herhaling delen","Del reprise","Oyun Tekrarını Paylaş","リプレイを共有","리플레이 공유","Поделиться повтором","مشاركة إعادة العرض","Compartilhar replay","分享回放","分享重播"
"TID_REPLAY_SHARED_SUCCESS","Replay shared!","Vidéo partagée !","Wiederholung geteilt!","¡Compartida!","Replay condiviso!","Herhaling gedeeld!","Reprise delt!","Oyun tekrarı paylaşıldı!","リプレイを共有しました！","공유 완료!","Повтор опубликован!","تمت مشاركة إعادة العرض!","Replay compartilhado","回放已分享！","已分享重播！"
"TID_REPLAY_SHARED_FAIL","You have already shared a replay. Share again in <time>.","Vous avez déjà partagé une vidéo. Partage à nouveau disponible dans <time>.","Du hast bereits eine Wiederholung geteilt. Teile die nächste in <time>.","Ya has compartido una repetición. Tienes que esperar <time> para compartir otra.","Hai già condiviso un replay. Condividi ancora tra <time>.","Je hebt al een herhaling gedeeld. Je kunt opnieuw delen over <time>.","Du har allerede delt en reprise. Du kan dele igjen om <time>.","Zaten bir oyun tekrarı paylaştın. <time> içinde yeniden paylaşabilirsin.","リプレイを共有したばかりです。\n次の共有まで<time>お待ちください。","이미 리플레이를 공유하셨습니다. <time> 후 다시 공유할 수 있습니다.","Повтор уже опубликован. Снова публиковать можно через <time>.","لقد شاركت إعادة عرض بالفعل. شارك ثانيةً خلال <time>.","Você já compartilhou um replay. Precisará aguardar <time>.","您已分享了一段回放。请在<time>后再次分享。","您已經分享過重播，<time>後才能再次分享。"
"TID_VIEW_PROFILE_BUTTON","View\nProfile","Voir\nle profil","Profil\nansehen","Ver\nperfil","Visualizza\nprofilo","Profiel\nbekijken","Vis\nprofil","Profili\nGörüntüle","プロフィール\nを表示","프로필\n보기","Просмотр\nпрофиля","عرض\nالملف الشخصي","Ver\nperfil","查看\n个人资料","觀看\n個人資料"
"TID_VIEW_CLAN_BUTTON_CONTEXT","View\nClan","Voir\nle clan","Clan\nansehen","Ver\nclan","Visualizza\nclan","Clan\nbekijken","Vis\nklan","Klanı\nGörüntüle","クランを\n見る","클랜\n보기","Просмотр\nклана","عرض القبيلة","Ver\nclã","查看部落","查看\n部落"
"TID_STREAM_REPLAY_TEXT","Check this replay!","Regardez cette vidéo !","Schau dir diese Wiederholung an!","¡Mira esta repetición!","Occhio a questo replay!","Moet je deze herhaling zien!","Se denne reprisen!","Bu oyun tekrarına göz at!","おすすめのリプレイです！","이 리플레이를 확인하세요!","Посмотри этот повтор!","مراجعة إعادة العرض هذه!","Confira este replay!","看看这个回放！","看看這個重播！"
"TID_REPLAY_SHARED_FROM","Shared a replay","Vidéo partagée","Hat eine Wiederholung geteilt","ha compartido una repetición.","Condiviso un replay","Herhaling gedeeld","Delte en reprise","Bir oyun tekrarı paylaşıldı","がリプレイを共有しました","리플레이 공유 완료","Опубликован повтор","تمت مشاركة إعادة عرض","compartilhou um replay","分享回放","分享了重播"
"TID_VIEWS","Views","Vues","-mal angesehen","Reproducciones","Visualizzazioni","Keer bekeken","Visninger","Görünümler","視聴","조회수","Просмотры","مشاهدات","Visualizações","观看次数","觀看次數"
"TID_NEWS_UPDATE_TITLE","UPDATE!","MISE À JOUR !","AKTUALISIERUNG!","¡ACTUALIZACIÓN!","AGGIORNAMENTO!","UPDATE!","OPPDATERING!","GÜNCELLE!","アップデート！","업데이트!","ОБНОВЛЕНИЕ!","تحديث!","ATUALIZAÇÃO!","更新！","更新！"
"TID_NEWS_UPDATE_TEXT","LEGENDARY ARENA & SEASONS\n- Legendary Arena: Unlocks at 3000 Trophies\n- Seasons: Every two weeks, players above 3000 Trophies will be reset to 3000 and all deducted Trophies will be awarded as Legend Trophies!\n\n​TOURNAMENT RULES\n- Tournament Rules: Friendly Battles now use the all-new \qTournament Standard\q level caps for truly fair-play matches! The level caps are: King & Crown Towers 8, Common Cards 8, Rares 6, Epics 3 and overtime lasts for 3 minutes. Have fun organising your own tournaments!\n\n​BALANCE & OTHER CHANGES\n- Battle Cost: We´ve removed the Gold cost for Battles and Friendly Battles\n- Balance: We´ve re-balanced a bunch of cards, visit www.clashroyale.com to find out more\n- Bugs: Stuck Witches, iMessage issues and many more fixes","ARÈNE LÉGENDAIRE ET SAISONS\n- Arène légendaire : accessible avec 3 000 trophées\n- Saisons : toutes les deux semaines, les joueurs ayant plus de 3 000 trophées verront leur nombre de trophées redescendre à 3 000 et tous leurs trophées ainsi prélevés deviendront des trophées légendaires !\n\n​RÈGLEMENT DES TOURNOIS\n- Règlement des tournois : les combats amicaux respectent désormais les toutes nouvelles limites de niveaux des \qnormes des tournois\q, pour des combats vraiment équitables ! Ces limites de niveaux sont les suivantes : 8 pour le roi et les tours couronnées, 8 pour les cartes communes, 6 pour les cartes rares, 3 pour les cartes épiques, avec un temps extra de 3 minutes. Amusez-vous bien en organisant vos propres tournois !\n\n​ÉQUILIBRAGE ET AUTRES CHANGEMENTS\n- Coût des combats : les dépenses d'or pour les combats et combats amicaux, c'est fini !\n- Équilibrage : nous avons rééquilibré certaines cartes. Consultez www.clashroyale.com pour en savoir plus.\n- Résolution de nombreux bugs, y compris ceux liés aux sorcières bloquées et à iMessage.","LEGENDÄRE ARENA UND SAISONS\n- Legendäre Arena: Wird bei 3000 Trophäen freigeschaltet\n- Saisons: Alle zwei Wochen werden Spieler mit über 3000 Trophäen auf 3000 Trophäen zurückgesetzt. Alle abgezogenen Trophäen werden als legendäre Trophäen vergeben!\n\n​TURNIERREGELN\n- Turnierregeln: Für Testspiele gelten jetzt \qTurnierstandards\q mit Levellimits, um für gerechte Voraussetzungen zu sorgen! Es gelten folgende Levellimits: König und Kronentürme - 8, Gewöhnliche Karten - 8, Seltene Karten - 6, Epische Karten - 3. Die Verlängerung dauert 3 Minuten. Viel Spaß beim Organisieren eurer Turniere!\n\n​AUSGEWOGENHEIT UND ANDERE VERÄNDERUNGEN:\n- Kampfkosten: Wir haben die Goldkosten für Kämpfe und Testspiele entfernt.\n- Ausgewogenheit: Wir haben verschiedene Karten neu austariert (weitere Informationen findest du auf www.clashroyale.com).\n- Fehler: Feststeckende Hexen, iMessage-Probleme und vieles mehr wurde behoben.","ARENA LEGENDARIA Y TEMPORADAS\n— Arena Legendaria: Se desbloquea con 3000 trofeos.\n— Temporadas: Cada dos semanas, se reiniciará el número de trofeos a 3000 para aquellos jugadores que tengan más de esa cantidad, y los trofeos que se hayan restado se entregarán en forma de trofeos de leyenda.\n\nREGLAS DEL TORNEO\n— Reglas: Las batallas amistosas se rigen en función de los nuevos límites de nivel del estándar del torneo para que las partidas sean justas. Los límites son los siguientes: nivel 8 para las torres del rey y de coronas, nivel 8 para las cartas comunes, nivel 6 para las cartas especiales, nivel 3 para las cartas épicas y tiempo extra de 3 minutos. ¡Disfruta organizando tus propios torneos!\n\n​AJUSTES DE EQUILIBRIO Y OTROS CAMBIOS\n— Coste de las batallas: Las batallas normales y las amistosas ya no cuestan oro.\n— Equilibrio: Hemos ajustado algunas cartas. Visita www.clashroyale.com para obtener más información.\n— Errores arreglados: Las brujas ya no se quedan atascadas, hemos solucionado problemas con iMessage ¡y más cosas!","ARENA LEGGENDARIA E STAGIONI\n- Arena leggendaria: si sblocca a 3.000 trofei\n- Stagioni: ogni due settimane, i giocatori con più di 3.000 trofei saranno riportati a 3.000 e i trofei sottratti saranno convertiti in trofei leggenda!\n\n​REGOLE DA TORNEO\n- Regole da torneo: ora le battaglia amichevoli usano i nuovi limiti di livello \qstandard da torneo\q per partite all'insegna del fair-play! I limiti di livello sono: re e torri della corona 8, carte comuni 8, rare 6, epiche 3 e i supplementari durano 3 minuti. Divertitevi a organizzare i vostri tornei!\n\n​BILANCIAMENTO E ALTRI CAMBIAMENTI\n- Costo delle battaglie: abbiamo tolto il costo in oro per battaglie e battaglie amichevoli\n- Bilanciamento: abbiamo ribilanciato diverse carte, visita www.clashroyale.com per saperne di più\n- Errori: streghe bloccate, problemi con iMessage e molte altre correzioni","LEGENDARISCHE ARENA & SEIZOENEN\n- Legendarische arena: wordt ontgrendeld bij 3000 trofeeën\n- Seizoenen: elke twee weken worden spelers met meer dan 3000 trofeeën teruggezet naar 3000 en alle afgetrokken trofeeën worden toegekend als legendarische trofeeën!\n\n​TOERNOOIREGELS\n- Toernooiregels: vriendschappelijke gevechten gebruiken nu de volledig nieuwe \qtoernooistandaard\q limieten op levels voor volledig eerlijke gevechten! De limieten voor de levels zijn: koning en kroontorens 8, gewone kaarten 8, zeldzame 6, epische 3 en de extra tijd duurt 3 minuten. Geniet van het organiseren van je eigen toernooien!\n\n​BALANS EN ANDERE WIJZIGINGEN\n- Gevechtskosten: we hebben de goudkosten voor gevechten en vriendschappelijke gevechten verwijderd\n- Balans: we hebben de balans van een heleboel kaarten aangepast, ga naar www.clashroyale.com voor meer informatie\n- Opgeloste problemen: vastgelopen heksen, iMessage-problemen en nog veel meer opgeloste problemen","LEGENDARISK ARENA & SESONGER\n- Legendarisk arena: Låser opp på 3000 trofeer\n- Sesonger: Annenhver uke tilbakestilles spillere med mer enn 3000 trofeer til 3000, og alle fratrukne trofeer gjøres om til legendetrofeer!\n\n​TURNERINGSREGLER\n- Turneringsregler: Vennskapskamper bruker nå den helt nye \qturneringsstandarden\q, med nivågrenser som virkelig gir rettferdige kamper! Nivågrensene er: Konge og kronetårn - 8, vanlige kort - 8, sjeldne - 6, episke - 3, mens overtiden varer i tre minutter. Ha det gøy med å organisere dine egne turneringer!\n\n​BALANSE & ANDRE ENDRINGER\n- Kampkostnad: Vi har fjernet gullkostnaden for kamper og vennskapskamper\n- Balanse: Vi har gjort om balansen for en rekke kort. Besøk www.clashroyale.com for å finne ut mer\n- Feilrettinger: Hekser som sitter fast, iMessage-problemer og mye annet","EFSANEVİ ARENA VE SEZONLAR\n- Efsanevi Arena: Kilidi 3000 Kupada açılır\n- Sezonlar: Kupa sayısı 3000'den fazla olan oyuncuların kupaları iki haftada bir 3000'e sıfırlanır ve tüm kesilen Kupalar Efsane Kupalar olarak verilir!\n\nTURNUVA KURALLARI\n- Turnuva Kuralları: Gerçekten adil oyun maçları için Dostluk Savaşları artık yepyeni \qTurnuva Standardı\q seviye kapasitelerini kullanacak! Seviye kapasiteleri şu şekilde: Kral ve Taç Kuleleri 8, Sıradan Kartlar 8, Enderler 6, Destansılar 3 ve uzatma seviyeleri 3 dakika sürecek. Kendi turnuvalarını organize etme keyfini yaşa!\n\nDENGE VE DİĞER DEĞİŞİKLİKLER\n- Savaş Maliyeti: Savaş ve Dostluk Savaşlarının Altın maliyetini kaldırdık\n- Denge: Bazı kartların dengesini ayarladık, daha fazlasını öğrenmek için www.clashroyale.com adresini ziyaret et\n- Hatalar: Takılan Cadılar, iMessage sorunları ve daha pek çok düzeltme","レジェンドアリーナ＆シーズン\n- レジェンドアリーナ： 3000トロフィーでアンロック\n- シーズン： 3000トロフィー以上を保持しているプレイヤーは2週間おきに3000トロフィーにリセットされ、差し引かれた分のトロフィーを「レジェンドトロフィー」として獲得します！\n\nトーナメントルール\n- トーナメントルール： 真にフェアな戦いを実現するため、フレンドバトルには新しい\qトーナメント基準\qに基づくレベル制限が適用されます！ レベル制限は以下の通りです：キングおよびクラウンタワー=8、ノーマルカード=8、レアカード=6、スーパーレアカード=3、延長タイム3分間。自分ルールのトーナメントをお楽しみください！\n\nバランス調整とその他の変更\n- バトルコスト： バトルやフレンドバトルの際に必要だったゴールド費用を廃止しました\n- バランス調整： 多くのカードでバランス調整を行いました。詳しくは（）をご確認ください\n- 不具合の修正： ネクロマンサーが引っかかる問題、iMessageにまつわる問題など、複数の不具合を修正しました","전설 아레나 & 시즌\n- 전설 아레나: 트로피 3000개에서 해제됩니다.\n- 시즌: 2주에 한 번씩 3000개 이상 트로피를 획득한 플레이어의 트로피 수가 3000개로 리셋되며 남은 트로피는 전설 트로피로 등록됩니다!\n\n토너먼트 규칙\n- 토너먼트 규칙: 친선전에 이제부터 새로운 \q토너먼트 기준\q 레벨 제한이 적용되어 공평한 조건에서 경기를 할 수 있습니다! 레벨 제한은 다음과 같습니다. 킹스 타워 및 크라운 타워 레벨 8, 일반 카드 레벨 8, 희귀 카드 레벨 6,영웅 카드 레벨 3이며 추가 시간은 3분입니다. 자신만의 토너먼트를 만들어 보세요!\n\n밸런스 및 기타 변경점\n- 경기 비용: 일반 전투 및 친선전에 이제 골드를 사용하지 않도록 변경했습니다.\n- 밸런스: 일부 카드의 밸런스를 변경했습니다. www.clashroyale.com을 방문해 자세한 내용을 알아보세요.\n- 버그 수정: 마녀가 걸리는 현상, iMessage버그 및 다양한 버그를 수정했습니다.","ЛЕГЕНДАРНАЯ АРЕНА И СЕЗОНЫ\n- Легендарная арена: открывается на 3 000 трофеев;\n- Сезоны: каждые две недели трофеи игроков, набравших больше 3 000 трофеев, будут сброшены до 3 000. Сброшенные трофеи превратятся в легендарные!\n\n​ПРАВИЛА ТУРНИРА\n- Турнирные поединки теперь проводятся по \qТурнирным стандартам\q, где уровни подгоняются для более честной игры! Уровни следующие: король и королевские башни получают уровень 8, обычные карты — 8, Редкие — 6, Эпические — 3, также дается 3 минуты доп. времени. Организуйте турниры на здоровье!\n\nБАЛАНС И ДРУГИЕ ПЕРЕМЕНЫ\n- Стоимость сражений: мы убрали плату золотом за бои и дружеские поединки;\n- Баланс: мы изменили несколько карт, подробнее можно узнать на www.clashroyale.com;\n- Исправлены ошибки: застрявшие ведьмы, iMessage и многие другие.","الساحة الأسطورية والمواسم\n- الساحة الأسطورية: تُفتح عند 3000 كأس\n- المواسم: كل أسبوعين، ستتم إعادة تعيين اللاعبين أعلى من 3000 كأس إلى 3000 وسيتم منح كل الكؤوس المخصومة ككؤوس أسطورة!\n\nقواعد البطولة\n- قواعد البطولة: المعارك الودية الآن تستخدم مستويات قدرة \qمعيار بطولة\q جديدة تمامًا للوصول إلى مباريات عادلة حقًا! مستويات القدرة هي: الملك وأبراج التاج 8 والبطاقات العادية 8 والنادرة 6 والممتازة 3 ويدوم الوقت الإضافي لمدة 3 دقائق. تمتع بترتيب بطولاتك الخاصة!\n\nالتوازن والتغييرات الأخرى\n- تكلفة المعركة: أزلنا تكلفة الذهب للمعارك والمعارك الودية\n- التوازن: أعدنا موازنة مجموعة من البطاقات، قم بزيارة www.clashroyale.com لاكتشاف المزيد\n- الأعطال: توقف الساحرات، مشاكل iMessage والمزيد من الإصلاحات.","ARENA LENDÁRIA E TEMPORADAS\n- Arena Lendária: Liberada ao alcançar 3000 troféus\n- Temporadas: A cada duas semanas, jogadores com mais de 3000 troféus serão reduzidos a 3000 e todos os troféus subtraídos serão transformados em troféus lendários!\n\nREGRAS DE TORNEIO\n- Regras de Torneio: batalhas amigáveis agora usam as novas limitações do \qpadrão de torneio\q para partidas justas! As limitações são: Rei e Torres da Coroa 8, cartas comuns 8, cartas raras 6, épicas 3 e prorrogação de até 3 minutos. Divirta-se organizando seus próprios torneios!\n\nEQUILÍBRIO E OUTRAS ALTERAÇÕES\n- Custo de batalhas: removemos o custo em ouro para batalhas e batalhas amigáveis\n- Equilíbrio: rebalanceamos várias cartas, visite www.clashroyale.com para descobrir mais\n- Erros: Bruxas travadas, problemas com iMessage e outros consertos","传奇竞技场和赛季\n- 传奇竞技场：在3000杯时解锁\n- 赛季：每隔两周，杯数大于3000的玩家将重置为3000杯，所有的扣除奖杯将以传奇奖杯的形式发放！\n\n​锦标赛规则\n- 锦标赛规则：为保证比赛公平，友谊战将采用全新的\q锦标赛标准\q等级上限：国王防御塔和皇家塔8级，普通卡牌8级，稀有卡牌6级，史诗卡牌3级，加时赛为3分钟。快来组织自己的锦标赛吧！\n\n​平衡性调整和其他改动\n- 战斗花费：我们取消了战斗和友谊战所需的金币花费\n- 平衡性调整：我们对大量卡牌做了平衡性调整，请访问www.clashroyale.com查看更多信息\n- 错误修复：卡女巫错误、iMessage问题和其他错误","傳說鬥技場與賽季\n- 傳說鬥技場：將在獲得 3000 個獎盃後開放\n- 賽季：每兩週會將玩家的獎盃重設為 3000。若玩家擁有獎盃數量超過 3000，扣除的獎盃將會轉換為傳說獎盃！\n\n​競賽規則\n- 競賽規則：友誼對戰將改用全新\q對戰標準\q等級，讓比賽更公平！等級上限為：國王與皇冠之塔為 8 級，普通卡片為 8 級，稀有卡片為 6 級，史詩卡片為 3 級，延長賽時間為 3 分鐘。希望你也能在為競賽準備時獲得樂趣！\n\n​遊戲平衡調整與其他變更\n- 對戰花費：我們取消了對戰與友誼對戰時需花費黃金的規則\n- 平衡調整：我們調整了大量卡片的能力，如需更多細節，請參照 www.clashroyale.com 公布資訊\n- 遊戲錯誤：女巫卡住不動、iMessage 以及其他錯誤修正"
"TID_NEWS_ITEM_BUTTON","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com","ClashRoyale.com"
"TID_SPELL_PRINCE","Prince","Prince","Prinz","Príncipe","Principe","Prins","Prins","Prens","プリンス","프린스","Принц","أمير","Príncipe","王子","王子"
